Yeovilton
Location: 355100E 123200N, Lat 51.006 Lon -2.641, 20 metres amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1998  11   10     3      10    58    89.3
   1998  12    9     2       8    78    37.6
   1999   1    9     2       6    85    60.3
   1999   2    8     2       9    30    76.8
   1999   3   11     3       9    52   113.8
   1999   4   13     5       6    70   157.8
   1999   5   17     8       0    51   147.0
   1999   6   18     8       0    63   173.1
   1999   7   23    12       0    10   233.4
   1999   8   21    12       0   114   168.7
   1999   9   20    10       0   130   153.4
   1999  10   15     6       1    68   143.1
   1999  11   11     4       3    47    97.8
   1999  12    9     2      10   137    58.7
   2000   1    8     0      15    20    52.0
   2000   2   10     3       6    72    90.3
   2000   3   11     3       5    31   123.9
   2000   4   12     3       4   132   148.6
   2000   5   16     7       0    60   173.3
   2000   6   19    10       0    21   198.0
   2000   7   20    11       0    53   200.8
   2000   8   21    12       0    44   192.2
   2000   9   19    11       0    80   119.6
   2000  10   14     7       1   162    94.6
   2000  11   10     3       4   119    65.7
   2000  12    9     4       5   135    47.5
   2001   1    7     0      13    85    71.2
   2001   2    9     0      15    57    87.3
   2001   3    9     3       8    88    66.0
   2001   4   12     4       4    66   144.0
   2001   5   17     7       0    23   204.5
   2001   6   20     9       0    16   196.9
   2001   7   21    11       0    81   203.8
   2001   8   21    12       0    79   177.9
   2001   9   18     9       0    26   131.2
   2001  10   17    10       0   117   103.7
   2001  11   11     2       8    40    76.0
   2001  12    7     0      23    25    94.6
   2002   1    9     3       7    66    35.5
   2002   2   10     4       5    74    77.3
   2002   3   12     3       5    51   104.3
   2002   4   14     4       3    63   197.0
   2002   5   16     7       0    96   190.4
   2002   6   18    10       0    32   138.0
   2002   7   20    11       0    63   170.8
   2002   8   21    11       0    46   191.8
   2002   9   19     9       0    26   174.7
   2002  10   15     7       2   142   102.7
   2002  11   12     6       0   192    75.8
   2002  12    9     4       3   100    50.0
